URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/204616710144174,Lizbeth Rodriguez,LizbethRodriguezOficial,2023-03-09,18015918,Spanish,yes,7,87050
https://www.facebook.com/1781736778715043,Chefclub Network,chefclubnetworkofficial,2023-03-09,17998073,English,yes,0,77716
https://www.facebook.com/272250629751,Canal RCN,CanalRCN,2023-03-09,17925138,Spanish,yes,50,68453
https://www.facebook.com/2392248101000496,What If,What.If.science,2023-03-09,17798213,English,yes,2,69623
https://www.facebook.com/897393153671209,Goalcast,goalcast,2023-07-21,17704693,English,yes,15,15677
https://www.facebook.com/245540212529111,Paul Vu,paulvutv,2023-06-15,17686474,English,yes,0,0
https://www.facebook.com/429602743795832,Andrea Brillantes,BrillantesAndrea,2023-03-09,17592620,English,yes,0,2109728
https://www.facebook.com/451836741536694,Fatos Desconhecidos,Desconhecidos.Fatos,2023-07-21,17449540,Portuguese,yes,0,16705
https://www.facebook.com/296947827078025,BigDawsTv,BigDawsTv,2023-03-09,17394476,English,yes,4,1762287
https://www.facebook.com/17614953850,Funny Or Die,funnyordie,2023-03-09,17240681,English,yes,1,16951
https://www.facebook.com/1318800798260799,BuzzFeed Video,BuzzFeedVideo,2023-07-21,17209353,English,yes,6,5843
https://www.facebook.com/168959476631905,Doc Willie Ong,DocWillieOngOfficial,2023-06-14,17204624,Tagalog,yes,5,0
https://www.facebook.com/175246082972,Ch7HD,Ch7HD,2023-03-09,17192393,Thai,yes,11,0
https://www.facebook.com/307093412636526,enchufetv,enchufetv,2023-03-09,17165535,Spanish,yes,1,505411
https://www.facebook.com/67496419489,Kolkata Knight Riders,KolkataKnightRiders,2023-03-09,17164142,English,yes,4,41466
https://www.facebook.com/521933937833147,Cris Elmasry - كريس المصرى,cris.elmasry,2023-03-09,17057713,Arabic,yes,0,0
https://www.facebook.com/113623891994626,صدى الملاعب,sadaalmalaeb,2023-03-09,16935834,Arabic,yes,15,47612
https://www.facebook.com/29092950651,TED,TED,2022-11-09,16896144,English,yes,6,40066
https://www.facebook.com/193145877727218,Carlos Rizo,CarlosRizoOficial,2023-07-21,16877252,Spanish,yes,16,58898
https://www.facebook.com/74361779753,Kim Chiu,KimChiuFBpage,2023-04-29,16807864,English,yes,0,0
https://www.facebook.com/379469962080762,Ennahar Tv النهار الجديد,EnnaharTv,2023-03-09,16748178,Arabic,yes,4,0
https://www.facebook.com/150312925065096,TV Globo,tvglobo,2023-03-09,16737439,Portuguese,yes,2,79910
https://www.facebook.com/146406732438,Thairath - ไทยรัฐออนไลน์,thairath,2023-07-21,16676544,Thai,yes,63,2945
https://www.facebook.com/124609457568935,Natasha Yi,NatashaYi,2023-03-09,16612232,English,yes,1,20469
https://www.facebook.com/452950464747477,Al Ahly SC,Officialahlysc,2023-03-09,16525484,Arabic,yes,4,264933
https://www.facebook.com/1542271459357482,Caught In Providence,caughtinprovidence,2023-06-30,16382430,English,yes,4,75590
https://www.facebook.com/301593130305876,Como Dice El Dicho,comodiceeldicho,2023-07-21,16187259,Spanish,yes,0,18884
https://www.facebook.com/136800899716252,Ana Maria Polo,AnaMariaPolo,2023-04-20,15957311,Spanish,yes,7,161963
https://www.facebook.com/166963213353405,Shahid,ShahidVOD,2023-07-21,15910512,Arabic,yes,30,10215
https://www.facebook.com/172289043138066,Emanuella,emanuellamarkangelcomedy,2023-03-09,15901025,English,yes,0,0
https://www.facebook.com/196934133652011,Donnalyn,,2023-03-09,15879456,English,yes,2,748023
https://www.facebook.com/158056104212380,MTV Lebanon,MTVLebanon,2023-03-09,15873279,Arabic,yes,35,8750
https://www.facebook.com/7709649447,Mostafa Shaban,MostafaShabanFan,2023-06-29,15866250,Arabic,yes,0,426171
https://www.facebook.com/189937167831592,Alhayah TV,AlHayah1TV,2023-07-21,15814794,Arabic,yes,14,0
https://www.facebook.com/130844103644010,ช่อง GMM25,GMM25Thailand,2023-07-21,15738012,Thai,yes,68,6414
https://www.facebook.com/257018236749,Sarah Geronimo,SGeronimo25,2023-05-15,15722840,English,yes,0,0
https://www.facebook.com/192184410930,Discovery Latinoamérica,DiscoveryLA,2023-03-09,15664429,Spanish,yes,24,10411
https://www.facebook.com/106810056061717,El Komander,El.Komander.Oficial,2023-03-09,15663296,Spanish,yes,6,19474
https://www.facebook.com/420726721319363,Distrito Comedia,DistritoComedia,2023-07-21,15555443,Spanish,yes,0,0
https://www.facebook.com/157809437606661,Green Apple التفاح الأخضر,GreenAppleShow,2023-04-03,15369649,Arabic,yes,0,0
